,name,country,sport,g_medal,s_medal,b_medal
1688,tohar butbul,ISR,Judo,0,0,1
1689,kelsey-lee roberts,AUS,Athletics,0,0,1
1690,matias osadczuk,ARG,Rugby Sevens,0,0,1
1691,ignacio mendy,ARG,Rugby Sevens,0,0,1
1692,leah julia wilkinson,GBR,Hockey,0,0,1
1693,nikita nagornyy,ROC,Artistic Gymnastics,0,0,1
1694,nikita nagornyy,ROC,Artistic Gymnastics,0,0,1
1695,mayra aguiar,BRA,Judo,0,0,1
1696,hatice kubra ilgun,TUR,Taekwondo,0,0,1
1697,peter paltchik,ISR,Judo,0,0,1
1698,irma testa,ITA,Boxing,0,0,1
1699,stine bredal oftedal,NOR,Handball,0,0,1
1700,jen gilbert,CAN,Baseball/Softball,0,0,1
1701,abraham de jesus conyedo ruano,ITA,Wrestling,0,0,1
1702,manon brunet,FRA,Fencing,0,0,1
1703,malwina kopron,POL,Athletics,0,0,1
1704,jairo asencio,DOM,Baseball/Softball,0,0,1
1705,marit malm frafjord,NOR,Handball,0,0,1
1706,qian zhou,CHN,Wrestling,0,0,1
1707,meng wei,CHN,Shooting,0,0,1
1708,emily sonnett,USA,Football,0,0,1
1709,kayla sanchez,CAN,Swimming,0,0,1
1710,kendall ellis,USA,Athletics,0,0,1
1711,femke bol,NED,Athletics,0,0,1
1712,laura unsworth,GBR,Hockey,0,0,1
1713,daryll neita,GBR,Athletics,0,0,1
1714,ana maria naimasi,FIJ,Rugby Sevens,0,0,1
1715,bingtian su,CHN,Athletics,0,0,1
1716,jennifer gadirova,GBR,Artistic Gymnastics,0,0,1
1717,raijieli daveua,FIJ,Rugby Sevens,0,0,1
1718,lovlina borgohain,IND,Boxing,0,0,1
1719,ana peleteiro,ESP,Athletics,0,0,1
1720,edina gangl,HUN,Water Polo,0,0,1
1721,caleb antill,AUS,Rowing,0,0,1
1722,gabriel arias,DOM,Baseball/Softball,0,0,1
1723,gurjant singh,IND,Hockey,0,0,1
1724,denes varga,HUN,Water Polo,0,0,1
1725,kelsey harshman,CAN,Baseball/Softball,0,0,1
1726,antonio j garcia robledo,ESP,Handball,0,0,1
1727,jorge fonseca,POR,Judo,0,0,1
1728,ashley moloney,AUS,Athletics,0,0,1
1729,sergey emelin,ROC,Wrestling,0,0,1
1730,samantha mewis,USA,Football,0,0,1
1731,dylan schmidt,NZL,Trampoline Gymnastics,0,0,1
1732,megan rapinoe,USA,Football,0,0,1
1733,benjamin kigen,KEN,Athletics,0,0,1
1734,christen press,USA,Football,0,0,1
1735,aleix gomez abello,ESP,Handball,0,0,1
1736,caitlin cronin,AUS,Rowing,0,0,1
1737,marine johannes,FRA,Basketball,0,0,1
1738,matthew temple,AUS,Swimming,0,0,1
1739,matthew temple,AUS,Swimming,0,0,1
1740,yefri perez,DOM,Baseball/Softball,0,0,1
1741,danielle lawrie,CAN,Baseball/Softball,0,0,1
1742,szilard jansik,HUN,Water Polo,0,0,1
1743,laisana likuceva,FIJ,Rugby Sevens,0,0,1
1744,thiago braz,BRA,Athletics,0,0,1
1745,sarah kohler,GER,Swimming,0,0,1
1746,giuseppe vicino,ITA,Rowing,0,0,1
1747,yuki kawata,JPN,Archery,0,0,1
1748,stacey ann williams,JAM,Athletics,0,0,1
1749,samuel takyi,GHA,Boxing,0,0,1
1750,patryk dobek,POL,Athletics,0,0,1
1751,baruch shmailov,ISR,Judo,0,0,1
1752,koki niwa,JPN,Table Tennis,0,0,1
1753,andre de grasse,CAN,Athletics,0,0,1
1754,hollie webb,GBR,Hockey,0,0,1
1755,denis mysak,SVK,Canoe Sprint,0,0,1
1756,jingjing li,CHN,Rowing,0,0,1
1757,jun jang,KOR,Taekwondo,0,0,1
1758,anna pulawska,POL,Canoe Sprint,0,0,1
1759,oshae jones,USA,Boxing,0,0,1
1760,rui ju,CHN,Rowing,0,0,1
1761,windy cantika aisah,INA,Weightlifting,0,0,1
1762,loren berto alfonso dominguez,AZE,Boxing,0,0,1
1763,matias sanchez,ARG,Volleyball,0,0,1
1764,jiyeon seo,KOR,Fencing,0,0,1
1765,balazs harai,HUN,Water Polo,0,0,1
1766,vernon norwood,USA,Athletics,0,0,1
1767,adrian figueras trejo,ESP,Handball,0,0,1
1768,alina shynkarenko,UKR,Artistic Swimming,0,0,1
